,Po,Team,Matches,Points,Rating
0,1,Australia,23,"2,714",                            118                            
1,2,Pakistan,20,"2,316",116
2,3,India,36,"4,081",113
3,4,New Zealan,27,"2,806",104
4,5,England,24,"2,426",101
5,6,South Afric,19,"1,910",101
6,7,Bangladesh,28,"2,661",95
7,8,Afghanistan,16,"1,404",88
8,9,Sri Lank,32,"2,794",87
9,10,West Indie,38,"2,582",68
10,11,Zimbabwe,30,"1,641",55
11,12,Scotland,33,"1,662",50
12,13,Ireland,24,"1,052",44
13,14,Netherlands,28,"1,044",37
14,15,Nepal,40,"1,396",35
15,16,Namibia,28,813,29
16,17,United States,31,808,26
17,18,Oman,24,525,22
18,19,UAE,41,617,15
